Read: k = 0, row = 0, col = 0, A = 296965303
Read: k = 34, row = 13, col = 9, A = -100431268
Complete symmetry: k = 400, row = 9, col = 13, A = -100431268
Read: k = 35, row = 14, col = 9, A = -411768199
Complete symmetry: k = 401, row = 9, col = 14, A = -411768199
Read: k = 36, row = 10, col = 10, A = 8484384829
Read: k = 37, row = 13, col = 10, A = 411768199
Complete symmetry: k = 402, row = 10, col = 13, A = 411768199
Read: k = 38, row = 14, col = 10, A = -1089530870
Complete symmetry: k = 403, row = 10, col = 14, A = -1089530870
Read: k = 39, row = 11, col = 11, A = 8484384829
Read: k = 40, row = 12, col = 11, A = -411768199
Complete symmetry: k = 404, row = 11, col = 12, A = -411768199
Read: k = 41, row = 15, col = 11, A = -1089530870
Complete symmetry: k = 405, row = 11, col = 15, A = -1089530870
Read: k = 42, row = 12, col = 12, A = 201032536
Read: k = 43, row = 16, col = 12, A = -100431268
Complete symmetry: k = 406, row = 12, col = 16, A = -100431268
Read: k = 44, row = 19, col = 12, A = 411768199
Complete symmetry: k = 407, row = 12, col = 19, A = 411768199
Read: k = 45, row = 13, col = 13, A = 201032536
Read: k = 46, row = 17, col = 13, A = -100431268
Complete symmetry: k = 408, row = 13, col = 17, A = -100431268
Read: k = 47, row = 18, col = 13, A = -411768199
Complete symmetry: k = 409, row = 13, col = 18, A = -411768199
Read: k = 48, row = 14, col = 14, A = 8932060211
Read: k = 49, row = 17, col = 14, A = 411768199
Complete symmetry: k = 410, row = 14, col = 17, A = 411768199
Read: k = 50, row = 18, col = 14, A = -1089530870
Complete symmetry: k = 411, row = 14, col = 18, A = -1089530870
Read: k = 51, row = 15, col = 15, A = 8932060211
Read: k = 52, row = 16, col = 15, A = -411768199
Complete symmetry: k = 412, row = 15, col = 16, A = -411768199
Read: k = 53, row = 19, col = 15, A = -1089530870
Complete symmetry: k = 413, row = 15, col = 19, A = -1089530870
Read: k = 54, row = 16, col = 16, A = 201032536
Read: k = 55, row = 20, col = 16, A = -100431268
Complete symmetry: k = 414, row = 16, col = 20, A = -100431268
Read: k = 56, row = 23, col = 16, A = 411768199
Complete symmetry: k = 415, row = 16, col = 23, A = 411768199
Read: k = 57, row = 17, col = 17, A = 201032536
Read: k = 58, row = 21, col = 17, A = -100431268
Complete symmetry: k = 416, row = 17, col = 21, A = -100431268
Read: k = 59, row = 22, col = 17, A = -411768199
Complete symmetry: k = 417, row = 17, col = 22, A = -411768199
Read: k = 60, row = 18, col = 18, A = 8932060211
Read: k = 61, row = 21, col = 18, A = 411768199
Complete symmetry: k = 418, row = 18, col = 21, A = 411768199
Read: k = 62, row = 22, col = 18, A = -1089530870
Complete symmetry: k = 419, row = 18, col = 22, A = -1089530870
Read: k = 63, row = 19, col = 19, A = 8932060211
Read: k = 64, row = 20, col = 19, A = -411768199
Complete symmetry: k = 420, row = 19, col = 20, A = -411768199
Read: k = 65, row = 23, col = 19, A = -1089530870
Complete symmetry: k = 421, row = 19, col = 23, A = -1089530870
Read: k = 66, row = 20, col = 20, A = 201032536
Read: k = 67, row = 24, col = 20, A = -100431268
Complete symmetry: k = 422, row = 20, col = 24, A = -100431268
Read: k = 68, row = 27, col = 20, A = 411768199
Complete symmetry: k = 423, row = 20, col = 27, A = 411768199
Read: k = 69, row = 21, col = 21, A = 201032536
Read: k = 70, row = 25, col = 21, A = -100431268
Complete symmetry: k = 424, row = 21, col = 25, A = -100431268
Read: k = 71, row = 26, col = 21, A = -411768199
Complete symmetry: k = 425, row = 21, col = 26, A = -411768199
Read: k = 72, row = 22, col = 22, A = 8932060211
Read: k = 73, row = 25, col = 22, A = 411768199
Complete symmetry: k = 426, row = 22, col = 25, A = 411768199
Read: k = 74, row = 26, col = 22, A = -1089530870
Complete symmetry: k = 427, row = 22, col = 26, A = -1089530870
Read: k = 75, row = 23, col = 23, A = 8932060211
Read: k = 76, row = 24, col = 23, A = -411768199
Complete symmetry: k = 428, row = 23, col = 24, A = -411768199
Read: k = 77, row = 27, col = 23, A = -1089530870
Complete symmetry: k = 429, row = 23, col = 27, A = -1089530870
Read: k = 78, row = 24, col = 24, A = 201032536
Read: k = 79, row = 27, col = 24, A = 0
Complete symmetry: k = 430, row = 24, col = 27, A = 0
Read: k = 80, row = 28, col = 24, A = -100431268
Complete symmetry: k = 431, row = 24, col = 28, A = -100431268
Read: k = 81, row = 31, col = 24, A = 411768199
Complete symmetry: k = 432, row = 24, col = 31, A = 411768199
Read: k = 82, row = 25, col = 25, A = 201032536
Read: k = 83, row = 26, col = 25, A = -0
Complete symmetry: k = 433, row = 25, col = 26, A = -0
Read: k = 84, row = 29, col = 25, A = -100431268
Complete symmetry: k = 434, row = 25, col = 29, A = -100431268
Read: k = 85, row = 30, col = 25, A = -411768199
Complete symmetry: k = 435, row = 25, col = 30, A = -411768199
Read: k = 86, row = 26, col = 26, A = 8932060211
Read: k = 87, row = 29, col = 26, A = 411768199
Complete symmetry: k = 436, row = 26, col = 29, A = 411768199
Read: k = 88, row = 30, col = 26, A = -1089530870
Complete symmetry: k = 437, row = 26, col = 30, A = -1089530870
Read: k = 89, row = 27, col = 27, A = 8932060211
Read: k = 90, row = 28, col = 27, A = -411768199
Complete symmetry: k = 438, row = 27, col = 28, A = -411768199
Read: k = 91, row = 31, col = 27, A = -1089530870
Complete symmetry: k = 439, row = 27, col = 31, A = -1089530870
Read: k = 92, row = 28, col = 28, A = 118560149
Read: k = 93, row = 31, col = 28, A = -220955087
Complete symmetry: k = 440, row = 28, col = 31, A = -220955087
Read: k = 94, row = 32, col = 28, A = -17958881
Complete symmetry: k = 441, row = 28, col = 32, A = -17958881
Read: k = 95, row = 35, col = 28, A = 190813113
Complete symmetry: k = 442, row = 28, col = 35, A = 190813113
Read: k = 96, row = 29, col = 29, A = 118560149
Read: k = 97, row = 30, col = 29, A = 220955087
Complete symmetry: k = 443, row = 29, col = 30, A = 220955087
Read: k = 98, row = 33, col = 29, A = -17958881
Complete symmetry: k = 444, row = 29, col = 33, A = -17958881
Read: k = 99, row = 34, col = 29, A = -190813113
Complete symmetry: k = 445, row = 29, col = 34, A = -190813113
Read: k = 100, row = 30, col = 30, A = 7565315898
Read: k = 101, row = 33, col = 30, A = 190813113
Complete symmetry: k = 446, row = 30, col = 33, A = 190813113
Read: k = 102, row = 34, col = 30, A = 955492852
Complete symmetry: k = 447, row = 30, col = 34, A = 955492852
Read: k = 103, row = 31, col = 31, A = 7565315898
Read: k = 104, row = 32, col = 31, A = -190813113
Complete symmetry: k = 448, row = 31, col = 32, A = -190813113
Read: k = 105, row = 35, col = 31, A = 955492852
Complete symmetry: k = 449, row = 31, col = 35, A = 955492852
Read: k = 106, row = 32, col = 32, A = 207459982
Read: k = 107, row = 35, col = 32, A = 229121327
Complete symmetry: k = 450, row = 32, col = 35, A = 229121327
Read: k = 108, row = 36, col = 32, A = -189501101
Complete symmetry: k = 451, row = 32, col = 36, A = -189501101
Read: k = 109, row = 39, col = 32, A = 419934439
Complete symmetry: k = 452, row = 32, col = 39, A = 419934439
Read: k = 110, row = 33, col = 33, A = 207459982
Read: k = 111, row = 34, col = 33, A = -229121327
Complete symmetry: k = 453, row = 33, col = 34, A = -229121327
Read: k = 112, row = 37, col = 33, A = -189501101
Complete symmetry: k = 454, row = 33, col = 37, A = -189501101
Read: k = 113, row = 38, col = 33, A = -419934439
Complete symmetry: k = 455, row = 33, col = 38, A = -419934439
Read: k = 114, row = 34, col = 34, A = 8533651124
Read: k = 115, row = 37, col = 34, A = 419934439
Complete symmetry: k = 456, row = 34, col = 37, A = 419934439
Read: k = 116, row = 38, col = 34, A = -3573215896
Complete symmetry: k = 457, row = 34, col = 38, A = -3573215896
Read: k = 117, row = 35, col = 35, A = 8533651124
Read: k = 118, row = 36, col = 35, A = -419934439
Complete symmetry: k = 458, row = 35, col = 36, A = -419934439
Read: k = 119, row = 39, col = 35, A = -3573215896
Complete symmetry: k = 459, row = 35, col = 39, A = -3573215896
Read: k = 120, row = 36, col = 36, A = 189831384
Read: k = 121, row = 39, col = 36, A = -405856110
Complete symmetry: k = 460, row = 36, col = 39, A = -405856110
Read: k = 122, row = 40, col = 36, A = -330283
Complete symmetry: k = 461, row = 36, col = 40, A = -330283
Read: k = 123, row = 43, col = 36, A = 14078329
Complete symmetry: k = 462, row = 36, col = 43, A = 14078329
Read: k = 124, row = 37, col = 37, A = 189831384
Read: k = 125, row = 38, col = 37, A = 405856110
Complete symmetry: k = 463, row = 37, col = 38, A = 405856110
Read: k = 126, row = 41, col = 37, A = -330283
Complete symmetry: k = 464, row = 37, col = 41, A = -330283
Read: k = 127, row = 42, col = 37, A = -14078329
Complete symmetry: k = 465, row = 37, col = 42, A = -14078329
Read: k = 128, row = 38, col = 38, A = 6241431243
Read: k = 129, row = 41, col = 38, A = 14078329
Complete symmetry: k = 466, row = 38, col = 41, A = 14078329
Read: k = 130, row = 42, col = 38, A = 393111660
Complete symmetry: k = 467, row = 38, col = 42, A = 393111660
Read: k = 131, row = 39, col = 39, A = 6241431243
Read: k = 132, row = 40, col = 39, A = -14078329
Complete symmetry: k = 468, row = 39, col = 40, A = -14078329
Read: k = 133, row = 43, col = 39, A = 393111660
Complete symmetry: k = 469, row = 39, col = 43, A = 393111660
Read: k = 134, row = 40, col = 40, A = 42437449
Read: k = 135, row = 43, col = 40, A = 257197087
Complete symmetry: k = 470, row = 40, col = 43, A = 257197087
Read: k = 136, row = 44, col = 40, A = -42107166
Complete symmetry: k = 471, row = 40, col = 44, A = -42107166
Read: k = 137, row = 47, col = 40, A = 271275416
Complete symmetry: k = 472, row = 40, col = 47, A = 271275416
Read: k = 138, row = 41, col = 41, A = 42437449
Read: k = 139, row = 42, col = 41, A = -257197087
Complete symmetry: k = 473, row = 41, col = 42, A = -257197087
Read: k = 140, row = 45, col = 41, A = -42107166
Complete symmetry: k = 474, row = 41, col = 45, A = -42107166
Read: k = 141, row = 46, col = 41, A = -271275416
Complete symmetry: k = 475, row = 41, col = 46, A = -271275416
Read: k = 142, row = 42, col = 42, A = 4057458594
Read: k = 143, row = 45, col = 42, A = 271275416
Complete symmetry: k = 476, row = 42, col = 45, A = 271275416
Read: k = 144, row = 46, col = 42, A = 244991052
Complete symmetry: k = 477, row = 42, col = 46, A = 244991052
Read: k = 145, row = 43, col = 43, A = 4057458594
Read: k = 146, row = 44, col = 43, A = -271275416
Complete symmetry: k = 478, row = 43, col = 44, A = -271275416
Read: k = 147, row = 47, col = 43, A = 244991052
Complete symmetry: k = 479, row = 43, col = 47, A = 244991052
Read: k = 148, row = 44, col = 44, A = 43166558
Read: k = 149, row = 47, col = 44, A = -250959150
Complete symmetry: k = 480, row = 44, col = 47, A = -250959150
Read: k = 150, row = 48, col = 44, A = -550092
Complete symmetry: k = 481, row = 44, col = 48, A = -550092
Read: k = 151, row = 51, col = 44, A = 20316266
Complete symmetry: k = 482, row = 44, col = 51, A = 20316266
Read: k = 152, row = 45, col = 45, A = 43166558
Read: k = 153, row = 46, col = 45, A = 250959150
Complete symmetry: k = 483, row = 45, col = 46, A = 250959150
Read: k = 154, row = 49, col = 45, A = -550092
Complete symmetry: k = 484, row = 45, col = 49, A = -550092
Read: k = 155, row = 50, col = 45, A = -20316266
Complete symmetry: k = 485, row = 45, col = 50, A = -20316266
Read: k = 156, row = 46, col = 46, A = 4262854087
Read: k = 157, row = 49, col = 46, A = 20316266
Complete symmetry: k = 486, row = 46, col = 49, A = 20316266
Read: k = 158, row = 50, col = 46, A = 488199576
Complete symmetry: k = 487, row = 46, col = 50, A = 488199576
Read: k = 159, row = 47, col = 47, A = 4262854087
Read: k = 160, row = 48, col = 47, A = -20316266
Complete symmetry: k = 488, row = 47, col = 48, A = -20316266
Read: k = 161, row = 51, col = 47, A = 488199576
Complete symmetry: k = 489, row = 47, col = 51, A = 488199576
Read: k = 162, row = 48, col = 48, A = 583761
Read: k = 163, row = 51, col = 48, A = -17216557
Complete symmetry: k = 490, row = 48, col = 51, A = -17216557
Read: k = 164, row = 52, col = 48, A = -33670
Complete symmetry: k = 491, row = 48, col = 52, A = -33670
Read: k = 165, row = 55, col = 48, A = 3099709
Complete symmetry: k = 492, row = 48, col = 55, A = 3099709
Read: k = 166, row = 49, col = 49, A = 583761
Read: k = 167, row = 50, col = 49, A = 17216557
Complete symmetry: k = 493, row = 49, col = 50, A = 17216557
Read: k = 168, row = 53, col = 49, A = -33670
Complete symmetry: k = 494, row = 49, col = 53, A = -33670
Read: k = 169, row = 54, col = 49, A = -3099709
Complete symmetry: k = 495, row = 49, col = 54, A = -3099709
Read: k = 170, row = 50, col = 50, A = 1393658878
Read: k = 171, row = 53, col = 50, A = 3099709
Complete symmetry: k = 496, row = 50, col = 53, A = 3099709
Read: k = 172, row = 54, col = 50, A = 189536373
Complete symmetry: k = 497, row = 50, col = 54, A = 189536373
Read: k = 173, row = 51, col = 51, A = 1393658878
Read: k = 174, row = 52, col = 51, A = -3099709
Complete symmetry: k = 498, row = 51, col = 52, A = -3099709
Read: k = 175, row = 55, col = 51, A = 189536373
Complete symmetry: k = 499, row = 51, col = 55, A = 189536373
Read: k = 176, row = 52, col = 52, A = 38798238
Read: k = 177, row = 55, col = 52, A = 255072315
Complete symmetry: k = 500, row = 52, col = 55, A = 255072315
Read: k = 178, row = 56, col = 52, A = -38764568
Complete symmetry: k = 501, row = 52, col = 56, A = -38764568
Read: k = 179, row = 59, col = 52, A = 258172023
Complete symmetry: k = 502, row = 52, col = 59, A = 258172023
Read: k = 180, row = 53, col = 53, A = 38798238
Read: k = 181, row = 54, col = 53, A = -255072315
Complete symmetry: k = 503, row = 53, col = 54, A = -255072315
Read: k = 182, row = 57, col = 53, A = -38764568
Complete symmetry: k = 504, row = 53, col = 57, A = -38764568
Read: k = 183, row = 58, col = 53, A = -258172023
Complete symmetry: k = 505, row = 53, col = 58, A = -258172023
Read: k = 184, row = 54, col = 54, A = 3510285310
Read: k = 185, row = 57, col = 54, A = 258172023
Complete symmetry: k = 506, row = 54, col = 57, A = 258172023
Read: k = 186, row = 58, col = 54, A = 309763513
Complete symmetry: k = 507, row = 54, col = 58, A = 309763513
Read: k = 187, row = 55, col = 55, A = 3510285310
Read: k = 188, row = 56, col = 55, A = -258172023
Complete symmetry: k = 508, row = 55, col = 56, A = -258172023
Read: k = 189, row = 59, col = 55, A = 309763513
Complete symmetry: k = 509, row = 55, col = 59, A = 309763513
Read: k = 190, row = 56, col = 56, A = 40183436
Read: k = 191, row = 59, col = 56, A = -230234656
Complete symmetry: k = 510, row = 56, col = 59, A = -230234656
Read: k = 192, row = 60, col = 56, A = -909568
Complete symmetry: k = 511, row = 56, col = 60, A = -909568
Read: k = 193, row = 63, col = 56, A = 27937368
Complete symmetry: k = 512, row = 56, col = 63, A = 27937368
Read: k = 194, row = 57, col = 57, A = 40183436
Read: k = 195, row = 58, col = 57, A = 230234656
Complete symmetry: k = 513, row = 57, col = 58, A = 230234656
Read: k = 196, row = 61, col = 57, A = -909568
Complete symmetry: k = 514, row = 57, col = 61, A = -909568
Read: k = 197, row = 62, col = 57, A = -27937368
Complete symmetry: k = 515, row = 57, col = 62, A = -27937368
Read: k = 198, row = 58, col = 58, A = 4292844182
Read: k = 199, row = 61, col = 58, A = 27937368
Complete symmetry: k = 516, row = 58, col = 61, A = 27937368
Read: k = 200, row = 62, col = 58, A = 552436143
Complete symmetry: k = 517, row = 58, col = 62, A = 552436143
Read: k = 201, row = 59, col = 59, A = 4292844182
Read: k = 202, row = 60, col = 59, A = -27937368
Complete symmetry: k = 518, row = 59, col = 60, A = -27937368
Read: k = 203, row = 63, col = 59, A = 552436143
Complete symmetry: k = 519, row = 59, col = 63, A = 552436143
Read: k = 204, row = 60, col = 60, A = 3409726
Read: k = 205, row = 63, col = 60, A = 24565961
Complete symmetry: k = 520, row = 60, col = 63, A = 24565961
Read: k = 206, row = 64, col = 60, A = -2500159
Complete symmetry: k = 521, row = 60, col = 64, A = -2500159
Read: k = 207, row = 67, col = 60, A = 52503329
Complete symmetry: k = 522, row = 60, col = 67, A = 52503329
Read: k = 208, row = 61, col = 61, A = 3409726
Read: k = 209, row = 62, col = 61, A = -24565961
Complete symmetry: k = 523, row = 61, col = 62, A = -24565961
Read: k = 210, row = 65, col = 61, A = -2500159
Complete symmetry: k = 524, row = 61, col = 65, A = -2500159
Read: k = 211, row = 66, col = 61, A = -52503329
Complete symmetry: k = 525, row = 61, col = 66, A = -52503329
Read: k = 212, row = 62, col = 62, A = 2686440534
Read: k = 213, row = 65, col = 62, A = 52503329
Complete symmetry: k = 526, row = 62, col = 65, A = 52503329
Read: k = 214, row = 66, col = 62, A = 682455618
Complete symmetry: k = 527, row = 62, col = 66, A = 682455618
Read: k = 215, row = 63, col = 63, A = 2686440534
Read: k = 216, row = 64, col = 63, A = -52503329
Complete symmetry: k = 528, row = 63, col = 64, A = -52503329
Read: k = 217, row = 67, col = 63, A = 682455618
Complete symmetry: k = 529, row = 63, col = 67, A = 682455618
Read: k = 218, row = 64, col = 64, A = 8801000
Read: k = 219, row = 67, col = 64, A = 42009297
Complete symmetry: k = 530, row = 64, col = 67, A = 42009297
Read: k = 220, row = 68, col = 64, A = -6300842
Complete symmetry: k = 531, row = 64, col = 68, A = -6300842
Read: k = 221, row = 71, col = 64, A = 94512626
Complete symmetry: k = 532, row = 64, col = 71, A = 94512626
Read: k = 222, row = 65, col = 65, A = 8801000
Read: k = 223, row = 66, col = 65, A = -42009297
Complete symmetry: k = 533, row = 65, col = 66, A = -42009297
Read: k = 224, row = 69, col = 65, A = -6300842
Complete symmetry: k = 534, row = 65, col = 69, A = -6300842
Read: k = 225, row = 70, col = 65, A = -94512626
Complete symmetry: k = 535, row = 65, col = 70, A = -94512626
Read: k = 226, row = 66, col = 66, A = 3547183581
Read: k = 227, row = 69, col = 66, A = 94512626
Complete symmetry: k = 536, row = 66, col = 69, A = 94512626
Read: k = 228, row = 70, col = 66, A = 810879391
Complete symmetry: k = 537, row = 66, col = 70, A = 810879391
Read: k = 229, row = 67, col = 67, A = 3547183581
Read: k = 230, row = 68, col = 67, A = -94512626
Complete symmetry: k = 538, row = 67, col = 68, A = -94512626
Read: k = 231, row = 71, col = 67, A = 810879391
Complete symmetry: k = 539, row = 67, col = 71, A = 810879391
Read: k = 232, row = 68, col = 68, A = 12601683
Read: k = 233, row = 72, col = 68, A = -6300842
Complete symmetry: k = 540, row = 68, col = 72, A = -6300842
Read: k = 234, row = 75, col = 68, A = 94512626
Complete symmetry: k = 541, row = 68, col = 75, A = 94512626
Read: k = 235, row = 69, col = 69, A = 12601683
Read: k = 236, row = 73, col = 69, A = -6300842
Complete symmetry: k = 542, row = 69, col = 73, A = -6300842
Read: k = 237, row = 74, col = 69, A = -94512626
Complete symmetry: k = 543, row = 69, col = 74, A = -94512626
Read: k = 238, row = 70, col = 70, A = 4048998782
Read: k = 239, row = 73, col = 70, A = 94512626
Complete symmetry: k = 544, row = 70, col = 73, A = 94512626
Read: k = 240, row = 74, col = 70, A = 810879391
Complete symmetry: k = 545, row = 70, col = 74, A = 810879391
Read: k = 241, row = 71, col = 71, A = 4048998782
Read: k = 242, row = 72, col = 71, A = -94512626
Complete symmetry: k = 546, row = 71, col = 72, A = -94512626
Read: k = 243, row = 75, col = 71, A = 810879391
Complete symmetry: k = 547, row = 71, col = 75, A = 810879391
Read: k = 244, row = 72, col = 72, A = 28373429
Read: k = 245, row = 75, col = 72, A = 170358422
Complete symmetry: k = 548, row = 72, col = 75, A = 170358422
Read: k = 246, row = 76, col = 72, A = -22072587
Complete symmetry: k = 549, row = 72, col = 76, A = -22072587
Read: k = 247, row = 79, col = 72, A = 264871048
Complete symmetry: k = 550, row = 72, col = 79, A = 264871048
Read: k = 248, row = 73, col = 73, A = 28373429
Read: k = 249, row = 74, col = 73, A = -170358422
Complete symmetry: k = 551, row = 73, col = 74, A = -170358422
Read: k = 250, row = 77, col = 73, A = -22072587
Complete symmetry: k = 552, row = 73, col = 77, A = -22072587
Read: k = 251, row = 78, col = 73, A = -264871048
Complete symmetry: k = 553, row = 73, col = 78, A = -264871048
Read: k = 252, row = 74, col = 74, A = 6930451964
Read: k = 253, row = 77, col = 74, A = 264871048
Complete symmetry: k = 554, row = 74, col = 77, A = 264871048
Read: k = 254, row = 78, col = 74, A = 1450952572
Complete symmetry: k = 555, row = 74, col = 78, A = 1450952572
Read: k = 255, row = 75, col = 75, A = 6930451964
Read: k = 256, row = 76, col = 75, A = -264871048
Complete symmetry: k = 556, row = 75, col = 76, A = -264871048
Read: k = 257, row = 79, col = 75, A = 1450952572
Complete symmetry: k = 557, row = 75, col = 79, A = 1450952572
Read: k = 258, row = 76, col = 76, A = 23543789
Read: k = 259, row = 79, col = 76, A = -235520568
Complete symmetry: k = 558, row = 76, col = 79, A = -235520568
Read: k = 260, row = 80, col = 76, A = -1471202
Complete symmetry: k = 559, row = 76, col = 80, A = -1471202
Read: k = 261, row = 83, col = 76, A = 29350479
Complete symmetry: k = 560, row = 76, col = 83, A = 29350479
Read: k = 262, row = 77, col = 77, A = 23543789
Read: k = 263, row = 78, col = 77, A = 235520568
Complete symmetry: k = 561, row = 77, col = 78, A = 235520568
Read: k = 264, row = 81, col = 77, A = -1471202
Complete symmetry: k = 562, row = 77, col = 81, A = -1471202
Read: k = 265, row = 82, col = 77, A = -29350479
Complete symmetry: k = 563, row = 77, col = 82, A = -29350479
Read: k = 266, row = 78, col = 78, A = 5710148773
Read: k = 267, row = 81, col = 78, A = 29350479
Complete symmetry: k = 564, row = 78, col = 81, A = 29350479
Read: k = 268, row = 82, col = 78, A = 366887930
Complete symmetry: k = 565, row = 78, col = 82, A = 366887930
Read: k = 269, row = 79, col = 79, A = 5710148773
Read: k = 270, row = 80, col = 79, A = -29350479
Complete symmetry: k = 566, row = 79, col = 80, A = -29350479
Read: k = 271, row = 83, col = 79, A = 366887930
Complete symmetry: k = 567, row = 79, col = 83, A = 366887930
Read: k = 272, row = 80, col = 80, A = 9441905
Read: k = 273, row = 83, col = 80, A = -27046372
Complete symmetry: k = 568, row = 80, col = 83, A = -27046372
Read: k = 274, row = 84, col = 80, A = -30703
Complete symmetry: k = 569, row = 80, col = 84, A = -30703
Read: k = 275, row = 87, col = 80, A = 2304107
Complete symmetry: k = 570, row = 80, col = 87, A = 2304107
Read: k = 276, row = 81, col = 81, A = 29001905
Read: k = 277, row = 82, col = 81, A = 27046372
Complete symmetry: k = 571, row = 81, col = 82, A = 27046372
Read: k = 278, row = 85, col = 81, A = -30703
Complete symmetry: k = 572, row = 81, col = 85, A = -30703
Read: k = 279, row = 86, col = 81, A = -2304107
Complete symmetry: k = 573, row = 81, col = 86, A = -2304107
Read: k = 280, row = 82, col = 82, A = 1035235070
Read: k = 281, row = 85, col = 82, A = 2304107
Complete symmetry: k = 574, row = 82, col = 85, A = 2304107
Read: k = 282, row = 86, col = 82, A = 114784622
Complete symmetry: k = 575, row = 82, col = 86, A = 114784622
Read: k = 283, row = 83, col = 83, A = 1035235070
Read: k = 284, row = 84, col = 83, A = -2304107
Complete symmetry: k = 576, row = 83, col = 84, A = -2304107
Read: k = 285, row = 87, col = 83, A = 114784622
Complete symmetry: k = 577, row = 83, col = 87, A = 114784622
Read: k = 286, row = 84, col = 84, A = 112446
Read: k = 287, row = 87, col = 84, A = 2110420
Complete symmetry: k = 578, row = 84, col = 87, A = 2110420
Read: k = 288, row = 88, col = 84, A = -81743
Complete symmetry: k = 579, row = 84, col = 88, A = -81743
Read: k = 289, row = 91, col = 84, A = 4414527
Complete symmetry: k = 580, row = 84, col = 91, A = 4414527
Read: k = 290, row = 85, col = 85, A = 112446
Read: k = 291, row = 86, col = 85, A = -2110420
Complete symmetry: k = 581, row = 85, col = 86, A = -2110420
Read: k = 292, row = 89, col = 85, A = -81743
Complete symmetry: k = 582, row = 85, col = 89, A = -81743
Read: k = 293, row = 90, col = 85, A = -4414527
Complete symmetry: k = 583, row = 85, col = 90, A = -4414527
Read: k = 294, row = 86, col = 86, A = 550218480
Read: k = 295, row = 89, col = 86, A = 4414527
Complete symmetry: k = 584, row = 86, col = 89, A = 4414527
Read: k = 296, row = 90, col = 86, A = 157633458
Complete symmetry: k = 585, row = 86, col = 90, A = 157633458
Read: k = 297, row = 87, col = 87, A = 550218480
Read: k = 298, row = 88, col = 87, A = -4414527
Complete symmetry: k = 586, row = 87, col = 88, A = -4414527
Read: k = 299, row = 91, col = 87, A = 157633458
Complete symmetry: k = 587, row = 87, col = 91, A = 157633458
Read: k = 300, row = 88, col = 88, A = 7356559
Read: k = 301, row = 91, col = 88, A = 74699095
